Object Id,XMin,XMax,YMin,YMax,171Yb_Renin Cell Intensity,175Lu_Aqu1 Cell Intensity,176Yb_H3 Cell Intensity,191Ir_DNA1 Cell Intensity,193Ir_DNA2 Cell Intensity,141Pr_aSMA Cell Intensity,143Nd_Vimentin Cell Intensity,145Nd_Aqu2 Cell Intensity,146Nd_Nestin Cell Intensity,147Sm_B-Cat Cell Intensity,148Nd_Calbindin Cell Intensity,150Nd_CD86 Cell Intensity,151Eu_CD31 Cell Intensity,152Sm_CD66b Cell Intensity,153Eu_Uromodulin Cell Intensity,156Gd_CD4 Cell Intensity,159Tb_CD68 Cell Intensity,161Dy_CD20 Cell Intensity,162Dy_CD8a Cell Intensity,164Dy_Cytokeratin7 Cell Intensity,165Ho_Megalin Cell Intensity,166Er_Col-IV Cell Intensity,169Tm_WT1 Cell Intensity,170Er_CD3 Cell Intensity,89Y_CD45 Cell Intensity,Cell Area (µm²),Cytoplasm Area (µm²),Membrane Area (µm²),Nucleus Area (µm²),Nucleus Perimeter (µm),Nucleus Roundness
1256,1227,1249,283,307,0.919668,2647.2825,1278.9917,4685.263,5063.54,105.46537,3074.169,279.2798,400.83932,6.506925,0,1210.2493,0.443213,0,49.529087,0,0,181.5374,0,103.73407,318.91412,4857.9336,748.8532,0,0,361,306,0,55,35,0.683934
1257,800,821,284,312,4.024242,13694.818,2070.9666,1072.1302,1213.3636,1120.3727,0,137.48181,66.181816,2.372727,0,1985.909,1.093939,397.18182,1195.3,198.59091,198.59091,155.41818,169.63939,127.663635,8226.396,2048.8909,2845.4758,0,0,330,260,0,70,33,0.809861
1258,1144,1160,291,301,2,1857.2771,3922.982,1678.8855,2200.4216,408.10843,0,91.10241,197.36145,0,0,1315.9639,0.608434,0,2.861446,0,0,0,0,4088.8674,155.45181,790.3494,351.61447,0,0,166,102,0,64,30,0.83455
1259,1257,1285,286,312,1.952941,905.8635,2744.6895,2746.1082,2893.993,682.37177,1051.0918,296.52942,224.83765,1.842353,26.105883,822.4,0.352941,0,147.48471,0,0,40.225883,0,396.50824,101.20941,3878.3694,248.16942,0,19.275293,425,359,0,66,38,0.686515
1260,1308,1336,285,314,5.197652,13334.665,1752.1996,1494.9844,1725.8845,415.89236,0,207.16438,74.79843,3.064579,0,3590.959,0.919765,256.49707,703.78864,41.44227,0,362.4403,291.24268,155.72798,4478.3994,2888.3699,3580.9941,74.818,0,511,432,0,79,36,0.739018
1261,1217,1228,286,307,0,3707.6282,7184.7485,5381.925,5862.769,736.4874,11515.944,759.94977,713.4372,2.623116,0,1646.608,0.703518,329.3216,46.83417,0,0,85.909546,0,117.61307,200.52763,2284.2764,3169.7688,0,0,199,165,0,34,22,0.741262
1262,1175,1188,297,313,5.503311,2057.3643,1215.1523,1550.6821,1811.4503,123.15894,26239.57,1402.139,1446.4702,6.913907,0,3906.0596,1.192053,434.00662,60.463577,0,0,0,0,186,81.218544,928.0729,25959.252,0,0,151,61,0,90,42,0.650083
1263,941,966,289,308,2.990991,11500.703,3771.7297,1415.1171,1912.5706,370.92792,614.0751,423.86786,327.94595,0.783784,0,3345.6306,1.051051,196.8018,755.2132,0,590.4054,102.67868,0,520.1111,8971.85,10611.075,6759.012,0,0,333,289,0,44,26,0.822826
1264,1203,1216,295,305,1.469027,1032.3894,4636.2476,3896.708,4385.7256,0,26243.256,1204.4867,1232.2212,9.238938,0,4059.6902,1.061947,579.95575,0.840708,0,0,151.29204,0,124.27434,0,473.35397,5210.6196,0,0,113,72,0,41,24,0.729833
1265,823,846,292,320,4.038929,12643.049,2944.7786,859.017,1158.6107,889.85156,9.79562,196.2433,106.27981,0,0,2657.5425,40.27737,0,843.3163,0,159.45256,207.98053,112.948906,375.8467,6537.3623,2116.6448,3679.9197,110.74939,0,411,330,0,81,40,0.767826
1266,1472,1491,297,308,1.22963,2140.4963,4066.563,3818.0444,3965.0889,3466.874,1497.9408,709.4815,424.7037,3.866667,31.518518,1132.7037,0.518519,0,1586.6888,0,0,126.63704,0,173.37038,599.25183,3944.3333,1782.5186,0,0,135,96,0,39,24,0.768074
1267,848,872,292,317,1.824176,122.67583,3112.044,2916.989,3210.8708,166.64835,0,221.58241,97.50275,361.51648,0,780.1786,0.906593,0,13194.767,0,0,93.93407,333.83517,514.3956,815.1071,2766.5356,70.32967,0,0,364,294,0,70,35,0.827778
1268,915,939,295,320,1.705128,13099.005,5598.9717,3327.664,3614.9563,365.56668,581.159,400.6949,126.00513,2.676923,7.402564,3024.6924,31.36923,168.03847,1119.4539,108.6,0,299.54614,455.1205,324.06924,7534.359,1235.1718,4240.4077,434.1077,0,390,312,0,78,35,0.778334
1269,1123,1134,301,316,3.276316,74.875,1803.3552,1155.3224,1733.2368,3207.2368,0,298.48026,377.2237,3.434211,2146.5723,3305.4934,1.578947,0,86.34869,0,0,337.42105,0,92.38816,1070.579,3831.1514,60.63158,0,0,152,116,0,36,22,0.730267
1270,1225,1245,302,319,0.775701,450.62616,4390.472,3392.6309,3764.3972,0,30648.004,1696.0374,1467.215,3.658879,0,4695.6543,1.121495,612.4766,197.34113,0,0,79.88785,0,153.11682,0,39.065422,8282.916,0,0,214,166,0,48,27,0.722693
1271,1350,1375,302,314,5.88189,20922.477,5941.5474,3520.7952,3754.933,40.09055,0,595.3937,75.24016,4.110236,0,3182.1458,0.826772,0,825.33466,0,0,729.16144,0,184.29134,9841.717,94.838585,4942.6143,286.69684,0,254,186,0,68,34,0.789441
1272,1021,1042,296,313,1.837638,364.57196,3540.1992,2458.9187,2987.273,3883.797,213.57933,2176.3875,231.70111,0.9631,0,2176.4392,0.664207,483.65314,142.84132,0,0,304.91144,0,293.64206,1575.8192,4408.635,1617.2288,0,0,271,191,0,80,36,0.760769
1273,1134,1158,303,328,2.019465,5418.5474,2973.932,2383.6545,2794.253,597.90753,924.50854,134.91728,245.78102,2.540146,0,1169.3187,0.510949,159.45256,21.289537,159.45256,0,284.24088,0,125.28224,194.15816,982.2701,1123.6594,0,0,411,294,0,117,50,0.656786
1274,1159,1173,299,317,1.720207,5774.4404,822.6632,3420.3574,3609.1243,1108.0725,1739.6995,313.43005,311.20724,1.352332,0,2150.544,0.932642,339.55957,196.6373,0,0,0,0,412.32126,132.77202,7106.088,3533.596,0,0,193,150,0,43,26,0.808437
1275,1101,1122,295,317,5.803174,879.74286,4952.613,2843.6445,3362.4443,877.0952,147.54604,704.1397,832.08887,2.485714,11400.178,6865.5713,1.428571,0,1114.8191,0,0,786.9619,26.019047,1084.8032,5451.984,1932.0222,1394.5905,317.85397,0,315,270,0,45,26,0.833394
1276,1046,1067,298,322,2.0802,41.406013,2752.6716,2673.0828,3202.4636,17.754387,0,37.902256,95.79449,0,0,1642.4812,0.37594,328.49625,2340.7493,0,0,128.54135,164.24812,1032.401,1064.2858,2096.3684,112.9223,0,0,399,311,0,88,38,0.848607
1277,1185,1202,304,321,4.902954,5399.43,12727.662,14580.853,15448.911,4614.709,6592.422,616.83124,633.5823,5.506329,0,2396.4978,0.92827,276.51898,146.08017,0,0,72.13502,0,98.75527,172.21097,6957.388,6645.1855,0,0,237,126,0,111,55,0.673238
1278,1204,1218,306,315,5.354839,3224.4194,4297.4272,2612.7903,3030.0403,346.37903,17363.105,1016.3387,1166.9678,6.314516,0,3171.0483,0.806452,0,104.314514,0,0,0,0,37.75,507.75806,687.9516,18564.072,0,0,124,82,0,42,26,0.811856
1279,1297,1321,298,320,5.071247,7653.6665,1718.0178,2007.5776,2388.1704,626.3842,207.0916,269.36642,90.30534,4.648855,20.503817,1889.8982,0.689567,166.75572,371.03055,166.75572,50.844784,210.257,142.4453,190.57506,4772.033,900.9288,3079.817,194.56488,20.844784,393,335,0,58,32,0.756799
1280,1248,1273,299,314,2.444853,1333.9521,6030.217,5934.033,6537.3384,392.32352,3557.0479,278,341.27942,244.77574,0,1766.875,0.919118,0,47.558823,0,0,125.70588,0,51.628677,173.61397,689.37866,2484.7058,0,0,272,225,0,47,28,0.760528
1281,836,851,306,318,1.328,7205.536,12366.912,5934.816,6747,24.776,9.112,80.656,131.04,2.088,0,3320.44,0.72,0,1095.76,0,0,1208.12,0,674.072,3898.208,2169.16,4407.296,0,0,125,71,0,54,30,0.822056
1282,1037,1047,301,320,8.521367,8273.128,3232.6155,138.42735,323.0684,4378.6323,1066.5299,603.1966,443.35898,4.461538,55.863247,3174.0598,1.282051,0,1134.906,181,0,560.12823,315.1111,1640.3505,4351.034,12623.572,1662.906,295.63248,70.0171,117,58,0,59,33,0.631596
1283,1462,1467,300,320,16.15534,6533.369,4675.447,1844.3301,2107.7766,206.31068,43.951458,734.1262,212.05826,5.067961,0,1908.7864,0.873786,0,1456.3107,205.60194,0,165.98058,0,363.5728,3351.7283,8586.894,6144,0,0,103,66,0,37,26,0.623065
1284,1445,1462,300,322,3.692064,14732.286,3811.3428,2759.4697,3040.4094,241.76508,0,272.05396,34.666668,1.657143,0,3190.0635,1.015873,0,480.4127,0,0,54.273014,0,74.30159,12360.089,3561.4348,2451.0984,23.13016,0,315,258,0,57,31,0.779578
1285,1469,1478,302,324,4,785.5964,8428.066,8239.476,8717.308,106.6747,166.91566,334.04218,82.22891,394.78915,0,1447.5602,0.662651,0,177.05421,0,1940.2771,205.9759,0,422.98193,242.58434,3510.1387,1714.8916,0,49.349396,166,106,0,60,32,0.799032
