,umap_1,umap_2
278,-1.7762511,2.1135159
279,6.0603952,6.0191913
280,-0.29805064,4.222933
281,2.61528,1.7053269
282,-3.3024423,5.793299
283,-0.6239477,3.907716
284,7.283655,6.5652566
285,10.485247,7.678023
286,5.3165236,5.804184
287,10.47479,7.8833785
288,-3.1658046,1.5679882
289,4.336181,4.5595407
290,5.819545,5.98425
291,6.761318,6.9678617
292,6.161234,6.417493
293,7.527762,4.8223596
294,7.1307864,6.417774
295,6.7468247,4.426879
296,-0.43743795,4.080571
297,8.565561,6.4421415
298,3.4562082,4.1528854
299,-0.62619513,3.8121026
300,-3.2683718,6.075431
301,6.1094313,6.096333
302,6.0546303,5.5123706
303,-3.6237051,5.9577775
304,-1.3649417,2.2126658
305,-2.7416463,1.9057786
306,9.466638,5.4067535
307,3.605441,3.0313823
308,8.531961,6.828699
309,10.818404,6.3438997
310,5.41142,5.9810185
311,5.297094,5.853672
312,-0.6598664,3.9185827
313,4.351762,4.814366
314,-2.7467854,1.9006267
315,2.8781006,2.4491847
316,8.976237,6.121969
317,-1.7143418,1.9182168
318,0.59295696,4.54163
319,2.2884815,2.4651058
320,4.671189,3.2889948
321,12.294258,7.269466
322,-0.63529545,3.7770307
323,-3.3462417,1.4560268
324,6.8377013,6.18674
325,-2.852489,1.6746768
326,-0.37378967,3.8642013
327,-3.2340722,1.530719
328,8.86071,6.524317
329,-2.9571168,1.7805896
330,9.543189,5.5734305
331,6.1710296,6.261449
332,7.4251065,6.517655
333,7.8847966,6.3117085
334,11.618364,7.3999586
335,10.514804,7.7285423
336,2.3116915,0.65457904
337,9.812263,7.919484
338,-3.0961702,6.059486
339,3.3621488,1.5177641
340,6.146786,5.438654
341,1.5551064,4.158302
342,8.829813,6.4332175
343,1.8852141,3.0933723
344,0.51473063,1.6666044
345,3.9460964,4.658155
346,-0.34060946,3.1622365
347,11.862824,7.619177
348,10.582478,7.3025107
349,10.615475,6.0739655
350,11.979789,6.381064
351,2.6170628,2.544767
352,6.339509,6.4095745
353,7.5182166,5.7478447
354,10.7556715,7.7139688
355,5.9047384,5.0651135
356,6.2155766,5.915322
357,6.955031,5.7316456
358,7.52691,6.3735147
359,0.01808323,2.5356576
360,-3.7213695,6.1919518
361,4.676843,4.721519
362,8.4570265,6.197499
363,9.313163,7.2339177
364,-2.2606134,1.7371395
365,6.984145,6.6500764
366,-0.39398602,3.876142
367,5.7351365,5.1299562
368,3.6636834,3.1108377
369,9.2294035,5.9336195
370,2.738785,1.1933948
371,-3.8672802,6.4991374
372,5.6759744,5.9790606
373,8.214385,6.4825068
374,-0.6210841,3.8367162
375,4.0709286,3.5981543
376,5.861293,5.2980313
377,5.860337,5.8193088
378,5.854764,5.411873
379,-2.4991412,1.5864137
380,-0.5615754,3.77041
381,-0.30999696,4.1122284
382,-1.0658761,3.1261353
383,-0.35819882,6.9130654
384,5.8899217,5.1575446
385,-2.1752167,4.6871023
386,-2.6208916,4.44516
387,-2.2248597,6.8200765
388,3.911794,3.8580031
389,7.4862304,5.7098904
390,-0.55563354,3.7425146
391,-0.611002,3.7966204
392,6.9946604,5.392227
393,-4.0902257,6.691549
394,0.5403272,2.2984953
395,10.033447,6.333361
396,6.786112,7.033787
397,-2.562241,4.4032683
398,-2.6434505,4.472167
399,-4.092354,6.7180424
400,5.2105894,5.733521
401,-0.43046668,3.6174917
402,10.36533,6.1396847
403,-2.392662,1.5684725
404,4.0038304,3.20028
405,-2.3813572,4.4739804
406,6.713003,6.4313674
407,8.384972,7.4616947
408,-0.39823732,4.0447183
409,-0.23355046,4.077431
410,5.2942743,5.8604093
411,8.0092535,7.265052
412,9.717342,6.370817
413,7.2609086,6.6559563
414,3.9306061,4.6685276
415,6.7927394,6.974558
416,-0.5944588,3.795208
417,6.8805423,6.9737415
418,-3.9281762,6.374463
419,-2.4878283,1.50322
420,-0.33208284,6.669062
421,3.66918,3.080153
422,2.2097275,0.7001457
423,8.617644,7.78251
424,-2.5427332,1.9958031
425,-3.7286212,6.1768866
426,2.3566785,0.5734625
427,6.866239,6.8668947
428,11.676405,7.1204605
429,3.3424802,4.3644824
430,1.3859802,3.3682857
431,7.6681647,6.575431
432,8.579151,7.298325
433,5.276365,5.8297772
434,3.07869,0.16862719
435,7.4969335,6.364086
436,8.928089,6.654611
437,-2.927164,5.7514486
438,8.742692,7.641074
439,9.699917,7.9524226
440,-2.4978473,4.379936
441,-0.57843953,3.7866457
442,4.849339,4.8870215
443,8.721198,5.125894
444,2.3021326,2.4229622
445,-0.5940792,3.7485356
446,5.8059683,5.257135
447,-1.0242522,2.841244
448,2.9600928,0.22033611
449,10.042917,5.9578786
450,4.033659,3.7852716
451,3.8848767,3.8736067
452,-3.8246133,6.2718687
453,3.2309358,0.13153082
454,8.825683,7.2402177
455,11.615073,7.1966233
456,6.902999,6.626842
457,6.995328,6.7161393
458,8.904938,7.1208506
459,3.9483733,0.21984346
460,1.162123,1.0794095
461,10.213336,6.3754454
462,8.458103,7.6522913
463,3.2217424,0.68990785
464,0.4487241,1.7726502
